ml_algo,bias,Monte_carlo_SE_bias,prct_bias,Monte_carlo_SE_prct_bias,abs_bias,Monte_carlo_abs_bias_SE,MSE,Monte_carlo_SE_MSE,empirical_SE,Monte_carlo_SE_empirical,time,nancount,n_conf,n_observations,iterations_monte_carlo,B_T,gamma,lam,linear,outcome_nuisance,propensity_nuisance,x_omit,Scenario,cov,Correlation,RMSE,DGP
Linear Regression,0.3598085376385966,0.0026904726995991,35.98085376385966,0.2690472699599178,0.3598085376385966,0.0026904726995991,0.1330742667879222,0.001956297256896,0.0601607984791113,0.001904356800416,0.0108965349197387,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X10-X19,10W,0.0613494623996377,0.0371502755840253,0.3647934577098693,Linear
DML,-0.7692694660378274,0.0198673735110155,-76.92694660378274,1.986737351101551,0.7856257667448573,0.0185403864316031,0.7887370639609991,0.0328328060564112,0.4442479770500935,0.0140624239962533,1.0825166654586793,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X10-X19,10W,0.0613494623996377,0.0371502755840253,0.8881087005322035,Linear
T-learner,0.6477114024077113,0.0027790827485541,64.77114024077113,0.2779082748554165,0.6477114024077113,0.0027790827485541,0.4233839879696971,0.0035977876511185,0.0621421794086406,0.0019670763178219,0.2334476566314697,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X10-X19,10W,0.0613494623996377,0.0371502755840253,0.6506796354349021,Linear
X-learner,0.4092504306630003,0.0029814986411974,40.925043066300034,0.2981498641197466,0.4092504306630003,0.0029814986411974,0.1719216927374345,0.002492686209425,0.0666683363654079,0.0021103493128331,0.7762698936462402,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X10-X19,10W,0.0613494623996377,0.0371502755840253,0.41463440853049627,Linear
XBCF,0.50098817722826,0.0028278711406679,50.09881772282599,0.2827871140667978,0.50098817722826,0.0028278711406679,0.2549795844614172,0.0028474254137872,0.0632331210214347,0.002001609471166,0.8587548160552978,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X10-X19,10W,0.0613494623996377,0.0371502755840253,0.5049550321181255,Linear
Linear Regression,1.108379947861007,0.0027529283191674,110.83799478610072,0.2752928319167489,1.108379947861007,0.0027529283191674,1.2322878373712742,0.006117918238577,0.0615573485884274,0.0019485638216829,0.0086783599853515,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X5 X15-X19,5S 5W,0.2356599805853686,0.1576412764023368,1.1100846082039306,Linear
DML,0.753563442141917,0.0197480513074101,75.3563442141917,1.974805130741012,0.7673224265062023,0.0186560973824947,0.7624606410223851,0.0318261793072538,0.4415798514652264,0.0139779659566269,0.952830023765564,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X5 X15-X19,5S 5W,0.2356599805853686,0.1576412764023368,0.8731899226527898,Linear
T-learner,1.180877195615172,0.002964377775547,118.0877195615172,0.2964377775547097,1.180877195615172,0.002964377775547,1.3988559313864386,0.0070339057238048,0.0662855021711292,0.002098230908162,0.2562810277938843,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X5 X15-X19,5S 5W,0.2356599805853686,0.1576412764023368,1.1827324005819908,Linear
X-learner,1.1238262830761356,0.0030371238929393,112.38262830761356,0.3037123892939352,1.1238262830761356,0.0030371238929393,1.2675883511817143,0.0068478969960698,0.0679121548070118,0.0021497216976357,0.7831453609466553,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,ElasticNet,X1-X5 X15-X19,5S 5W,0.2356599805853686,0.1576412764023368,1.1258722623733628,Linear
XBCF,1.1802384008287314,0.0028268189456309,118.02384008287316,0.2826818945630963,1.1802384008287314,0.0028268189456309,1.3969501445611012,0.0066862291529468,0.0632095932251511,0.002000864711788,0.8132112884521484,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X5 X15-X19,5S 5W,0.2356599805853686,0.1576412764023368,1.181926454802117,Linear
Linear Regression,1.4293363996455488,0.0028717218912021,142.93363996455489,0.2871721891202123,1.4293363996455488,0.0028717218912021,2.0471176898752863,0.008201446879714,0.0642136536120219,0.0020326476879802,0.0092547893524169,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X10,10S,0.3411315850131502,0.3084647203019397,1.4307752059199539,Linear
DML,1.3563553502685055,0.0164794175318061,135.63553502685056,1.6479417531806149,1.3563553502685055,0.0164794175318061,1.975213866093619,0.0441341840930774,0.3684909783072035,0.011664378102876,0.9925429344177246,0,20,2000,500,1.0,0.5,0.5,True,XGBRegressor,XGBClassifier,X1-X10,10S,0.3411315850131502,0.3084647203019397,1.4054230203371578,Linear
